Orthogroup	Bacillus_subtilis_aa	Rhodococcus_erythropolis_aa
OG0000351	CAB11985.2, CAB15764.1	ALU72076.1
OG0000352	CAB11993.2	ALU68150.1, ALU73594.1, ALU69109.1
OG0000353	CAB12004.1	ALU69214.1
OG0000354	CAB12010.1	ALU70099.1
OG0000355	CAB15881.2, CAB12033.1	ALU70531.1
OG0000357	CAB12035.1, CAB12941.1	ALU70903.1
OG0000358	CAB12058.2, CAB12418.1	ALU70925.1
OG0000359	CAB12063.1	ALU73436.1, ALU68600.1
OG0000360	CAB12066.1, CAB15547.1	ALU71738.1
OG0000361	CAB12069.1, CAB12660.2	ALU69745.1
OG0000363	CAB12106.3	ALU71136.1, ALU71137.1
OG0000364	CAB12114.1, CAB15274.1	ALU69488.1
OG0000365	CAB16048.1, CAB15962.2, CAB12135.1	ALU71189.1
OG0000366	CAB12198.1	ALU67667.1, ALU68676.1
OG0000367	CAB12214.3, CAB12243.1	ALU69059.1
OG0000368	CAB12216.2	ALU69000.1, ALU73082.1
OG0000369	CAB12474.2, CAB12232.1	ALU73274.1
OG0000370	CAB12233.1, CAB13485.1	ALU67733.1
OG0000371	CAB15141.1, CAB12252.1, CAB12587.1	ALU72830.1
OG0000372	CAB12271.1, CAB13648.1	ALU71975.1
OG0000373	CAB12316.1, CAB12326.1	ALU69541.1
OG0000374	CAB12337.1, CAB15616.1, CAB14588.2	ALU71921.1
OG0000375	CAB12652.1, CAB12357.1	ALU69810.1
OG0000376	CAB13079.1, CAB13834.2, CAB12391.2	ALU72815.1
OG0000377	CAB12393.2, CAB12780.2	ALU71910.1
OG0000379	CAB13088.1, CAB12435.1, CAB13641.2	ALU70676.1
OG0000380	CAB12452.2	ALU71021.1
OG0000381	CAB12456.1, CAB14977.1	ALU69566.1
OG0000382	CAB12464.1	ALU72841.1, ALU68944.1
OG0000383	CAB12473.1, CAB15798.1	ALU72855.1
OG0000384	CAB12493.1, CAB12631.1	ALU71219.1
OG0000386	CAB12517.1	ALU70028.1, ALU68313.1
OG0000388	CAB12542.1	ALU68082.1, ALU73466.1
OG0000390	CAB12572.1	ALU70992.1, ALU70990.1, ALU71631.1
OG0000391	CAB12577.1	ALU69683.1, ALU69864.1, ALU68927.1
OG0000392	CAB14627.1, CAB15932.2, CAB12590.1	ALU72486.1
OG0000393	CAB12594.1	ALU69373.1
OG0000394	CAB14644.2, CAB12614.1	ALU68400.1
OG0000395	CAB13196.1, CAB13146.2, CAB12688.1	ALU71517.1
OG0000396	CAB14772.1, CAB12699.3	ALU72208.1
OG0000397	CAB15889.1, CAB12710.2	ALU67799.1
OG0000398	CAB12747.1	ALU67929.1
OG0000399	CAB12752.1	ALU70904.1
OG0000400	CAB12757.2	ALU69587.1, ALU71820.1
OG0000401	CAB12762.1	ALU71994.1, ALU71620.1
OG0000402	CAB12800.1	ALU71641.1, ALU71640.1
OG0000404	CAB12823.2, CAB14492.2	ALU70401.1
OG0000405	CAB12826.1, CAB14723.1	ALU71237.1
OG0000406	CAB12850.1	ALU73117.1
OG0000407	CAB12890.1	ALU71863.1, ALU73037.1
OG0000408	CAB12915.1	ALU73401.1, ALU71565.1
OG0000409	CAB15032.1, CAB12919.2, CAB16028.2	ALU70541.1
OG0000411	CAB12933.2, CAB13431.1	ALU70398.1
OG0000412	CAB16071.1, CAB12963.2	ALU70811.1
OG0000413	CAB12964.2, CAB13425.1	ALU71089.1
OG0000414	CAB13426.1, CAB12965.3	ALU71088.1
OG0000415	CAB12996.2	ALU72922.1
OG0000416	CAB13150.1, CAB13001.1	ALU67748.1
OG0000417	CAB13017.1, CAB15874.1	ALU72048.1
OG0000418	CAB15855.1, CAB13023.1	ALU72395.1
OG0000419	CAB13300.1, CAB13027.1	ALU71708.1
OG0000422	CAB14543.1, CAB13126.2	ALU70154.1
OG0000423	CAB13141.2	ALU70511.1, ALU72183.1
OG0000424	CAB16086.2, CAB13145.2	ALU70668.1, ALU72862.1
OG0000425	CAB13160.2	ALU68628.1
OG0000426	CAB13230.1	ALU70079.1, ALU72282.1, ALU67671.1
OG0000427	CAB15796.1, CAB13231.1	ALU69995.1
OG0000428	CAB13263.1, CAB15479.1	ALU71277.1, ALU70193.1
OG0000429	CAB13264.2	ALU70194.1, ALU71273.1
OG0000430	CAB13269.1	ALU70721.1, ALU70201.1
OG0000431	CAB13295.1	ALU71259.1, ALU70475.1
OG0000432	CAB13301.1	ALU71628.1, ALU69795.1
OG0000433	CAB13326.1, CAB13551.2	ALU71313.1
OG0000434	CAB13331.1	ALU70173.1, ALU68258.1
OG0000435	CAB14337.2, CAB13334.1	ALU69598.1
OG0000436	CAB13381.1	ALU71538.1, ALU69784.1
OG0000437	CAB15027.1, CAB13387.1	ALU70581.1
OG0000438	CAB13390.2, CAB13389.2	ALU70583.1
OG0000439	CAB13391.1	ALU70584.1, ALU67835.1
OG0000440	CAB13392.2	ALU70586.1, ALU70204.1
OG0000442	CAB13460.1	ALU69545.1, ALU71544.1
OG0000443	CAB15698.1, CAB13497.2	ALU70247.1
OG0000444	CAB13526.1	ALU70432.1, ALU69926.1
OG0000445	CAB13530.1	ALU71422.1, ALU73020.1
OG0000446	CAB13536.1	ALU71405.1, ALU70352.1
OG0000447	CAB13553.3, CAB14959.2	ALU71311.1
OG0000448	CAB13573.1, CAB15000.1	ALU70638.1
OG0000449	CAB13899.2, CAB13621.1	ALU71617.1
OG0000450	CAB13898.2, CAB13622.1	ALU71616.1
OG0000451	CAB13896.2, CAB13623.1	ALU71613.1
OG0000452	CAB13636.1	ALU73067.1, ALU71454.1
OG0000453	CAB13645.1, CAB16043.1, CAB13748.1	ALU69710.1
OG0000454	CAB13669.1	ALU68849.1, ALU71270.1
OG0000455	CAB13727.2	ALU70758.1, ALU68167.1
OG0000456	CAB13728.2	ALU68168.1, ALU70757.1
OG0000457	CAB13741.2, CAB14312.1	ALU72238.1
OG0000458	CAB15405.1, CAB13769.1	ALU67834.1
OG0000459	CAB13772.1	ALU72866.1
OG0000460	CAB14218.1, CAB13814.1	ALU70363.1
OG0000461	CAB13832.1	ALU72379.1
OG0000462	CAB13942.1	ALU69671.1, ALU73653.1, ALU69240.1
OG0000463	CAB14023.1, CAB14195.1	ALU71557.1
OG0000464	CAB14319.2, CAB14303.1, CAB14068.2	ALU70425.1
OG0000465	CAB14171.1	ALU72779.1, ALU70546.1
OG0000466	CAB14199.1	ALU71553.1, ALU68916.1
OG0000467	CAB14245.2, CAB14776.2	ALU72203.1
OG0000468	CAB14248.2, CAB14982.2	ALU70837.1
OG0000469	CAB14270.1	ALU70229.1, ALU70291.1
OG0000470	CAB14882.1, CAB14287.1	ALU70042.1, ALU73576.1
OG0000471	CAB14311.1	ALU70122.1, ALU69029.1
OG0000472	CAB14317.2	ALU71049.1, ALU73475.1
OG0000473	CAB14340.2, CAB15793.1	ALU72401.1
OG0000474	CAB14348.1	ALU70258.1, ALU72673.1
OG0000475	CAB14352.1	ALU73430.1, ALU69053.1, ALU69637.1
OG0000476	CAB14364.2	ALU72105.1, ALU72579.1
OG0000477	CAB14377.1	ALU71096.1
OG0000478	CAB14383.2	ALU71248.1, ALU71395.1
OG0000479	CAB14432.3	ALU69328.1, ALU68060.1
OG0000480	CAB14450.2	ALU71234.1, ALU71245.1
OG0000481	CAB14488.2	ALU72518.1, ALU70405.1
OG0000482	CAB14503.1	ALU69635.1
OG0000483	CAB14508.2	ALU69500.1, ALU70340.1
OG0000484	CAB14606.1	ALU72456.1, ALU68049.1
OG0000485	CAB14612.1	ALU69515.1, ALU70651.1
OG0000486	CAB14613.1, CAB15628.1	ALU69516.1
OG0000488	CAB14684.1	ALU70778.1, ALU71288.1
OG0000489	CAB14689.1	ALU70070.1, ALU73003.1
OG0000490	CAB14937.1, CAB14693.2	ALU71590.1
OG0000491	CAB14720.1	ALU71159.1
OG0000492	CAB14768.1	ALU70349.1
OG0000494	CAB14785.1	ALU71558.1
OG0000495	CAB14804.2	ALU68708.1, ALU71845.1
OG0000496	CAB14816.1	ALU68740.1, ALU68137.1
OG0000497	CAB14823.1, CAB14960.1	ALU70802.1
OG0000499	CAB15783.2, CAB14855.1	ALU71186.1
OG0000500	CAB14869.1	ALU70770.1, ALU68998.1
OG0000501	CAB14881.2	ALU69625.1, ALU68329.1
OG0000502	CAB15872.1, CAB14945.1	ALU70822.1
OG0000504	CAB15030.1	ALU71548.1, ALU72126.1
OG0000505	CAB15055.1	ALU68266.1, ALU73078.1
OG0000506	CAB15074.1, CAB15075.1	ALU70014.1
OG0000507	CAB15611.1, CAB15144.1	ALU67804.1
OG0000509	CAB15192.1	ALU70182.1
OG0000510	CAB15235.1	ALU71796.1
OG0000511	CAB15238.1	ALU71799.1, ALU70715.1
OG0000512	CAB15253.1	ALU72352.1, ALU72416.1
OG0000513	CAB15262.1	ALU69146.1
OG0000514	CAB15272.1	ALU68757.1
OG0000515	CAB15308.1	ALU68891.1
OG0000516	CAB15343.1	ALU70389.1, ALU69522.1
OG0000517	CAB15350.1	ALU70788.1, ALU68484.1
OG0000518	CAB15353.1	ALU68045.1
OG0000519	CAB15357.1	ALU67678.1, ALU72223.1
OG0000520	CAB15360.1	ALU69535.1, ALU68867.1
OG0000521	CAB15388.1, CAB15378.1	ALU69290.1
OG0000522	CAB15808.3, CAB15440.1	ALU71763.1
OG0000523	CAB15469.1	ALU70006.1, ALU70005.1
OG0000524	CAB15506.1	ALU70195.1, ALU72913.1
OG0000525	CAB16127.1, CAB15648.2	ALU68383.1
OG0000526	CAB15668.1	ALU67868.1, ALU71530.1
OG0000527	CAB15670.1	ALU72849.1, ALU68011.1
OG0000528	CAB15752.1, CAB15676.1, CAB15747.1	ALU69651.1
OG0000529	CAB15677.1	ALU69462.1, ALU71359.1
OG0000530	CAB15683.1	ALU69394.1, ALU67942.1
OG0000531	CAB15693.1, CAB15727.2	ALU70251.1
OG0000532	CAB15706.1	ALU68332.1, ALU71834.1
OG0000533	CAB15707.1	ALU69929.1, ALU70238.1
OG0000534	CAB15712.1	ALU72727.1, ALU70237.1
OG0000535	CAB16003.1, CAB15729.1	ALU72460.1
OG0000536	CAB15908.1	ALU68663.1, ALU68645.1
OG0000537	CAB16069.1, CAB15974.1	ALU69094.1
OG0000538	CAB16008.1	ALU73737.1, ALU71850.1, ALU71871.1
OG0000539	CAB16119.1, CAB16116.1	ALU69924.1
OG0000540	CAB16125.1	ALU72384.1, ALU71881.1
OG0000541	CAB16126.2	ALU69778.1, ALU68384.1
OG0000542	CAB16134.1	ALU68221.1, ALU70834.1
OG0000543	CAE01465.2	ALU72374.1
OG0000544	CAX52582.1	ALU68149.1, ALU70861.1, ALU70987.1
OG0000633	CAB11777.1	ALU68213.1
OG0000634	CAB11778.1	ALU68212.1
OG0000635	CAB11779.1	ALU68148.1
OG0000636	CAB11780.1	ALU68210.1
OG0000637	CAB11783.1	ALU68204.1
OG0000638	CAB11785.1	ALU71956.1
OG0000639	CAB11787.1	ALU71180.1
OG0000640	CAB11788.1	ALU71174.1
OG0000641	CAB11789.1	ALU68028.1
OG0000643	CAB11793.1, CAB15164.1	ALU70266.1
OG0000644	CAB11795.2	ALU67867.1
OG0000645	CAB11796.1	ALU67853.1
OG0000646	CAB11797.1	ALU67852.1
OG0000647	CAB13336.1, CAB11803.1	ALU68408.1
OG0000648	CAB11804.2	ALU71744.1
OG0000649	CAB11812.1	ALU69813.1
OG0000651	CAB11814.1	ALU69815.1
OG0000652	CAB11815.1	ALU69816.1
OG0000653	CAB11818.1	ALU69822.1
OG0000654	CAB11822.1	ALU69830.1
OG0000655	CAB11826.1	ALU69872.1
OG0000656	CAB11827.1	ALU69871.1
OG0000657	CAB11829.1	ALU69857.1
OG0000658	CAB11831.1	ALU69881.1
OG0000659	CAB11834.1	ALU69882.1
OG0000660	CAB11844.1	ALU73156.1
OG0000661	CAB11846.2	ALU73145.1
OG0000663	CAB11849.1	ALU72781.1
OG0000664	CAB11852.1, CAB12806.1	ALU69375.1
OG0000665	CAB11854.1	ALU73152.1
OG0000666	CAB11855.1	ALU73151.1
OG0000667	CAB11858.1	ALU73139.1
OG0000668	CAB11863.1	ALU73097.1
OG0000669	CAB11866.1	ALU73094.1
OG0000670	CAB11867.1	ALU73093.1
OG0000671	CAB11868.1	ALU71563.1
OG0000672	CAB11870.1	ALU73092.1
OG0000673	CAB11872.1	ALU73091.1
OG0000674	CAB11877.1	ALU72158.1
OG0000675	CAB11878.2	ALU72157.1
OG0000676	CAB11879.2	ALU72156.1
OG0000677	CAB11880.2	ALU72154.1
OG0000678	CAB11881.1	ALU72153.1
OG0000679	CAB11883.2	ALU72141.1
OG0000680	CAB11884.2	ALU72140.1
OG0000681	CAB11886.2	ALU72113.1
OG0000682	CAB11887.2	ALU72112.1
OG0000683	CAB11888.2	ALU72111.1
OG0000684	CAB11889.1	ALU72110.1
OG0000685	CAB11891.1	ALU72028.1
OG0000686	CAB11892.1	ALU72027.1
OG0000687	CAB11893.1	ALU72026.1
OG0000688	CAB11894.2	ALU72025.1
OG0000689	CAB11895.2	ALU72024.1
OG0000690	CAB11896.1	ALU72023.1
OG0000691	CAB11897.1	ALU72022.1
OG0000692	CAB11898.2	ALU72021.1
OG0000693	CAB11899.1	ALU72020.1
OG0000694	CAB11900.1	ALU72019.1
OG0000695	CAB11901.1	ALU72018.1
OG0000696	CAB11902.1	ALU72017.1
OG0000697	CAB11903.1	ALU72016.1
OG0000698	CAB11904.1	ALU72015.1
OG0000699	CAB11906.2	ALU72013.1
OG0000700	CAB11907.1	ALU72012.1
OG0000701	CAB11908.2	ALU72011.1
OG0000702	CAB11909.1	ALU72010.1
OG0000703	CAB11910.1	ALU72009.1
OG0000704	CAB11911.1	ALU72008.1
OG0000705	CAB11912.1	ALU72007.1
OG0000706	CAB11913.1	ALU72006.1
OG0000707	CAB11915.1	ALU72004.1
OG0000708	CAB11916.1	ALU72003.1
OG0000709	CAB11917.2	ALU72002.1
OG0000710	CAB11918.1	ALU72001.1
OG0000711	CAB11919.1	ALU71999.1
OG0000712	CAB11920.1	ALU71998.1
OG0000713	CAB11921.2	ALU71301.1
OG0000714	CAB11923.2	ALU71302.1
OG0000715	CAB11924.2	ALU71997.1
OG0000716	CAB11925.2	ALU71985.1
OG0000717	CAB11926.1	ALU71984.1
OG0000718	CAB11930.1	ALU70020.1
OG0000720	CAB11942.1	ALU72757.1
OG0000721	CAB11943.2	ALU70464.1
OG0000722	CAB11946.1	ALU72662.1
OG0000723	CAB11953.1	ALU71983.1
OG0000725	CAB12147.2, CAB12011.1	ALU68131.1
OG0000726	CAB12322.1, CAB12016.1	ALU69254.1
OG0000727	CAB12351.1, CAB12020.1	ALU69002.1
OG0000728	CAB12027.1	ALU70905.1
OG0000729	CAB13356.1, CAB12037.1	ALU71215.1
OG0000734	CAB12089.1	ALU68395.1
OG0000736	CAB12099.2	ALU69959.1
OG0000737	CAB12107.1	ALU71624.1
OG0000738	CAB12109.2	ALU71100.1
OG0000740	CAB12126.2, CAB12124.1	ALU71703.1
OG0000741	CAB15760.2, CAB12127.2	ALU71704.1
OG0000744	CAB12192.1, CAB12729.1	ALU73543.1
OG0000747	CAB12195.1	ALU68744.1
OG0000748	CAB12203.2	ALU68092.1
OG0000749	CAB13095.1, CAB12207.2	ALU70452.1
OG0000750	CAB12213.3	ALU73081.1
OG0000751	CAB12220.1	ALU70545.1
OG0000753	CAB12254.1	ALU72050.1
OG0000754	CAB12263.1	ALU71551.1
OG0000755	CAB12264.1	ALU70585.1
OG0000756	CAB12266.1	ALU69989.1, ALU69990.1
OG0000757	CAB12287.1, CAB13973.1	ALU70520.1
OG0000758	CAB15620.1, CAB12341.1	ALU70485.1
OG0000762	CAB12369.1, CAB14651.2	ALU69712.1
OG0000763	CAB12372.1	ALU68997.1, ALU70895.1
OG0000764	CAB12389.1	ALU72321.1, ALU72329.1
OG0000766	CAB12410.1	ALU71973.1
OG0000767	CAB12411.1	ALU71972.1
OG0000768	CAB12412.1	ALU71971.1
OG0000769	CAB12413.1	ALU71970.1
OG0000770	CAB12415.1	ALU71629.1
OG0000771	CAB12416.1	ALU72232.1
OG0000772	CAB12421.2	ALU71966.1
OG0000773	CAB12422.1	ALU72348.1
OG0000774	CAB12436.1	ALU70458.1
OG0000776	CAB12449.1	ALU67864.1, ALU67820.1
OG0000777	CAB12455.2	ALU71951.1
OG0000778	CAB12462.1	ALU71771.1
OG0000779	CAB12463.2	ALU71772.1
OG0000780	CAB12465.1	ALU72833.1
OG0000781	CAB12466.1	ALU72820.1
OG0000782	CAB12467.1	ALU72819.1
OG0000783	CAB12468.2	ALU69362.1
OG0000784	CAB12469.2	ALU69366.1
OG0000785	CAB12470.2	ALU69370.1
OG0000786	CAB12471.2	ALU69760.1
OG0000787	CAB12472.2	ALU69761.1
OG0000789	CAB12481.1	ALU69752.1
OG0000790	CAB12482.1	ALU71587.1
OG0000791	CAB12485.1	ALU67660.1
OG0000792	CAB12487.1	ALU71584.1
OG0000793	CAB12488.1	ALU71583.1
OG0000794	CAB12489.2	ALU71577.1
OG0000798	CAB15255.1, CAB12535.1	ALU69255.1
OG0000800	CAB12544.1, CAB14658.1	ALU72968.1
OG0000801	CAB12546.1	ALU71761.1
OG0000802	CAB12551.1	ALU68805.1
OG0000803	CAB12553.1, CAB12785.1	ALU70120.1
OG0000804	CAB12554.1, CAB15909.1	ALU68652.1
OG0000805	CAB12558.1	ALU72726.1
OG0000806	CAB12559.1	ALU72476.1
OG0000807	CAB12588.1	ALU72488.1, ALU72831.1
OG0000808	CAB12592.2	ALU72485.1
OG0000809	CAB12593.1	ALU71533.1
OG0000810	CAB12599.1, CAB12649.1	ALU70192.1
OG0000811	CAB12650.1	ALU67901.1, ALU72437.1
OG0000812	CAB12651.1	ALU72438.1, ALU67900.1
OG0000813	CAB12676.1	ALU71443.1
OG0000814	CAB12681.1	ALU71292.1
OG0000815	CAB12691.1	ALU73111.1
OG0000816	CAB12700.2	ALU70283.1
OG0000817	CAB12707.2	ALU72386.1
OG0000818	CAB15457.1, CAB12708.2	ALU71938.1
OG0000819	CAB12716.1	ALU69779.1
OG0000820	CAB12721.2	ALU71895.1
OG0000822	CAB12756.1	ALU69586.1
OG0000824	CAB12804.1	ALU70357.1
OG0000825	CAB12825.2	ALU71236.1
OG0000826	CAB12852.1	ALU71203.1
OG0000827	CAB12853.1	ALU71016.1
OG0000828	CAB12854.1	ALU71202.1
OG0000829	CAB12872.1	ALU69052.1
OG0000830	CAB12877.1	ALU71300.1
OG0000832	CAB12895.1, CAB15815.1	ALU67972.1
OG0000834	CAB12904.3	ALU69948.1
OG0000835	CAB12905.2	ALU69949.1
OG0000838	CAB12920.1	ALU70570.1
OG0000840	CAB12956.1	ALU71032.1
OG0000841	CAB12958.3	ALU67988.1, ALU67859.1
OG0000842	CAB12960.2	ALU70808.1
OG0000843	CAB12961.2	ALU70809.1
OG0000844	CAB12962.1	ALU70810.1
OG0000845	CAB12966.1	ALU70812.1
OG0000846	CAB12975.1	ALU70467.1
OG0000847	CAB12999.1	ALU71878.1
OG0000848	CAB13153.2, CAB13000.1	ALU67749.1
OG0000850	CAB13013.1	ALU70321.1
OG0000851	CAB14932.1, CAB13018.1	ALU70827.1
OG0000852	CAB13020.1	ALU71128.1
OG0000853	CAB13026.1	ALU72392.1
OG0000854	CAB13028.1	ALU72387.1
OG0000855	CAB13029.2	ALU71017.1
OG0000856	CAB13080.1	ALU69988.1, ALU71701.1
OG0000862	CAB13149.2	ALU72873.1
OG0000864	CAB13155.1	ALU68824.1
OG0000865	CAB13161.1	ALU68697.1
OG0000867	CAB13168.2	ALU73458.1
OG0000868	CAB13169.2	ALU70356.1
OG0000869	CAB13170.2	ALU70367.1
OG0000870	CAB13175.2	ALU72299.1, ALU69479.1
OG0000871	CAB13182.1	ALU69786.1
OG0000873	CAB13222.1, CAB15904.1	ALU72164.1
OG0000875	CAB13303.1	ALU71630.1
OG0000876	CAB13312.1	ALU71275.1
OG0000877	CAB13313.1	ALU71276.1
OG0000880	CAB13332.1	ALU68259.1
OG0000881	CAB13340.1	ALU71232.1
OG0000882	CAB13350.1	ALU69984.1
OG0000883	CAB13362.1, CAB15843.2	ALU70542.1
OG0000884	CAB15841.1, CAB13364.1	ALU70549.1
OG0000885	CAB13374.2	ALU71542.1
OG0000886	CAB13375.1	ALU71541.1
OG0000887	CAB13377.1	ALU69341.1, ALU68620.1
OG0000888	CAB13386.1	ALU70580.1
OG0000889	CAB13393.1	ALU70587.1
OG0000890	CAB13395.2	ALU70589.1
OG0000891	CAB13396.1	ALU72269.1
OG0000892	CAB13399.2	ALU68189.1, ALU70864.1
OG0000893	CAB13402.2	ALU70592.1
OG0000894	CAB13411.1	ALU70593.1
OG0000895	CAB13412.1	ALU70594.1
OG0000896	CAB13417.2	ALU70600.1
OG0000898	CAB13419.1	ALU70607.1
OG0000899	CAB13421.1	ALU71093.1
OG0000900	CAB13423.2	ALU71092.1
OG0000901	CAB13424.2	ALU71091.1
OG0000902	CAB13428.1	ALU70881.1
OG0000903	CAB13430.1	ALU72477.1
OG0000904	CAB13436.1	ALU70395.1, ALU71700.1
OG0000905	CAB13441.2	ALU71084.1
OG0000906	CAB13443.1	ALU71082.1
OG0000907	CAB13444.1	ALU71080.1
OG0000908	CAB13445.1	ALU72382.1
OG0000909	CAB13446.1	ALU71075.1
OG0000910	CAB13447.1	ALU71074.1
OG0000911	CAB13448.1	ALU71487.1
OG0000912	CAB13449.1	ALU68183.1
OG0000913	CAB13452.1	ALU71072.1
OG0000914	CAB13457.1	ALU71545.1
OG0000915	CAB13459.1	ALU71466.1
OG0000916	CAB13465.1	ALU70468.1
OG0000917	CAB13466.1	ALU71537.1
OG0000918	CAB13467.2	ALU71532.1
OG0000919	CAB13468.1	ALU71531.1
OG0000920	CAB13471.1	ALU71527.1
OG0000921	CAB13472.1	ALU71525.1
OG0000922	CAB13473.1	ALU71524.1
OG0000923	CAB13475.1	ALU71523.1
OG0000924	CAB13476.1	ALU71522.1
OG0000925	CAB13477.2	ALU71512.1
OG0000926	CAB13479.1	ALU71510.1
OG0000927	CAB13482.1	ALU69755.1
OG0000928	CAB13483.1	ALU69756.1
OG0000929	CAB13484.1	ALU71502.1
OG0000931	CAB13522.1	ALU71495.1
OG0000932	CAB13523.1	ALU71494.1
OG0000933	CAB13524.2	ALU71493.1
OG0000934	CAB13525.1	ALU71492.1
OG0000935	CAB13527.1	ALU71491.1
OG0000936	CAB13528.2	ALU71485.1
OG0000937	CAB13529.1	ALU71484.1
OG0000938	CAB13532.1	ALU71408.1
OG0000939	CAB13533.1	ALU71407.1
OG0000940	CAB13538.1	ALU71402.1
OG0000941	CAB13539.1	ALU71397.1
OG0000942	CAB13540.1	ALU71394.1
OG0000943	CAB13541.1	ALU71393.1
OG0000944	CAB13542.1	ALU71392.1
OG0000945	CAB13548.1	ALU67827.1
OG0000946	CAB13565.2	ALU70863.1, ALU71307.1
OG0000947	CAB13566.2	ALU71306.1
OG0000948	CAB13567.2	ALU71293.1
OG0000949	CAB13574.1	ALU71287.1
OG0000950	CAB13580.1	ALU69570.1
OG0000951	CAB13617.2	ALU71283.1
OG0000952	CAB13627.2	ALU71280.1
OG0000953	CAB13630.1	ALU70493.1
