Orthogroup	Rhodococcus_erythropolis_aa	Bacillus_subtilis_aa
OG0000351	ALU72076.1	CAB11985.2, CAB15764.1
OG0000352	ALU68150.1, ALU73594.1, ALU69109.1	CAB11993.2
OG0000353	ALU69214.1	CAB12004.1
OG0000354	ALU70099.1	CAB12010.1
OG0000355	ALU70531.1	CAB15881.2, CAB12033.1
OG0000357	ALU70903.1	CAB12035.1, CAB12941.1
OG0000358	ALU70925.1	CAB12058.2, CAB12418.1
OG0000359	ALU73436.1, ALU68600.1	CAB12063.1
OG0000360	ALU71738.1	CAB12066.1, CAB15547.1
OG0000361	ALU69745.1	CAB12069.1, CAB12660.2
OG0000363	ALU71136.1, ALU71137.1	CAB12106.3
OG0000364	ALU69488.1	CAB12114.1, CAB15274.1
OG0000365	ALU71189.1	CAB16048.1, CAB15962.2, CAB12135.1
OG0000366	ALU67667.1, ALU68676.1	CAB12198.1
OG0000367	ALU69059.1	CAB12214.3, CAB12243.1
OG0000368	ALU69000.1, ALU73082.1	CAB12216.2
OG0000369	ALU73274.1	CAB12474.2, CAB12232.1
OG0000370	ALU67733.1	CAB12233.1, CAB13485.1
OG0000371	ALU72830.1	CAB15141.1, CAB12252.1, CAB12587.1
OG0000372	ALU71975.1	CAB12271.1, CAB13648.1
OG0000373	ALU69541.1	CAB12316.1, CAB12326.1
OG0000374	ALU71921.1	CAB12337.1, CAB15616.1, CAB14588.2
OG0000375	ALU69810.1	CAB12652.1, CAB12357.1
OG0000376	ALU72815.1	CAB13079.1, CAB13834.2, CAB12391.2
OG0000377	ALU71910.1	CAB12393.2, CAB12780.2
OG0000379	ALU70676.1	CAB13088.1, CAB12435.1, CAB13641.2
OG0000380	ALU71021.1	CAB12452.2
OG0000381	ALU69566.1	CAB12456.1, CAB14977.1
OG0000382	ALU72841.1, ALU68944.1	CAB12464.1
OG0000383	ALU72855.1	CAB12473.1, CAB15798.1
OG0000384	ALU71219.1	CAB12493.1, CAB12631.1
OG0000386	ALU70028.1, ALU68313.1	CAB12517.1
OG0000388	ALU68082.1, ALU73466.1	CAB12542.1
OG0000390	ALU70992.1, ALU70990.1, ALU71631.1	CAB12572.1
OG0000391	ALU69683.1, ALU69864.1, ALU68927.1	CAB12577.1
OG0000392	ALU72486.1	CAB14627.1, CAB15932.2, CAB12590.1
OG0000393	ALU69373.1	CAB12594.1
OG0000394	ALU68400.1	CAB14644.2, CAB12614.1
OG0000395	ALU71517.1	CAB13196.1, CAB13146.2, CAB12688.1
OG0000396	ALU72208.1	CAB14772.1, CAB12699.3
OG0000397	ALU67799.1	CAB15889.1, CAB12710.2
OG0000398	ALU67929.1	CAB12747.1
OG0000399	ALU70904.1	CAB12752.1
OG0000400	ALU69587.1, ALU71820.1	CAB12757.2
OG0000401	ALU71994.1, ALU71620.1	CAB12762.1
OG0000402	ALU71641.1, ALU71640.1	CAB12800.1
OG0000404	ALU70401.1	CAB12823.2, CAB14492.2
OG0000405	ALU71237.1	CAB12826.1, CAB14723.1
OG0000406	ALU73117.1	CAB12850.1
OG0000407	ALU71863.1, ALU73037.1	CAB12890.1
OG0000408	ALU73401.1, ALU71565.1	CAB12915.1
OG0000409	ALU70541.1	CAB15032.1, CAB12919.2, CAB16028.2
OG0000411	ALU70398.1	CAB12933.2, CAB13431.1
OG0000412	ALU70811.1	CAB16071.1, CAB12963.2
OG0000413	ALU71089.1	CAB12964.2, CAB13425.1
OG0000414	ALU71088.1	CAB13426.1, CAB12965.3
OG0000415	ALU72922.1	CAB12996.2
OG0000416	ALU67748.1	CAB13150.1, CAB13001.1
OG0000417	ALU72048.1	CAB13017.1, CAB15874.1
OG0000418	ALU72395.1	CAB15855.1, CAB13023.1
OG0000419	ALU71708.1	CAB13300.1, CAB13027.1
OG0000422	ALU70154.1	CAB14543.1, CAB13126.2
OG0000423	ALU70511.1, ALU72183.1	CAB13141.2
OG0000424	ALU70668.1, ALU72862.1	CAB16086.2, CAB13145.2
OG0000425	ALU68628.1	CAB13160.2
OG0000426	ALU70079.1, ALU72282.1, ALU67671.1	CAB13230.1
OG0000427	ALU69995.1	CAB15796.1, CAB13231.1
OG0000428	ALU71277.1, ALU70193.1	CAB13263.1, CAB15479.1
OG0000429	ALU70194.1, ALU71273.1	CAB13264.2
OG0000430	ALU70721.1, ALU70201.1	CAB13269.1
OG0000431	ALU71259.1, ALU70475.1	CAB13295.1
OG0000432	ALU71628.1, ALU69795.1	CAB13301.1
OG0000433	ALU71313.1	CAB13326.1, CAB13551.2
OG0000434	ALU70173.1, ALU68258.1	CAB13331.1
OG0000435	ALU69598.1	CAB14337.2, CAB13334.1
OG0000436	ALU71538.1, ALU69784.1	CAB13381.1
OG0000437	ALU70581.1	CAB15027.1, CAB13387.1
OG0000438	ALU70583.1	CAB13390.2, CAB13389.2
OG0000439	ALU70584.1, ALU67835.1	CAB13391.1
OG0000440	ALU70586.1, ALU70204.1	CAB13392.2
OG0000442	ALU69545.1, ALU71544.1	CAB13460.1
OG0000443	ALU70247.1	CAB15698.1, CAB13497.2
OG0000444	ALU70432.1, ALU69926.1	CAB13526.1
OG0000445	ALU71422.1, ALU73020.1	CAB13530.1
OG0000446	ALU71405.1, ALU70352.1	CAB13536.1
OG0000447	ALU71311.1	CAB13553.3, CAB14959.2
OG0000448	ALU70638.1	CAB13573.1, CAB15000.1
OG0000449	ALU71617.1	CAB13899.2, CAB13621.1
OG0000450	ALU71616.1	CAB13898.2, CAB13622.1
OG0000451	ALU71613.1	CAB13896.2, CAB13623.1
OG0000452	ALU73067.1, ALU71454.1	CAB13636.1
OG0000453	ALU69710.1	CAB13645.1, CAB16043.1, CAB13748.1
OG0000454	ALU68849.1, ALU71270.1	CAB13669.1
OG0000455	ALU70758.1, ALU68167.1	CAB13727.2
OG0000456	ALU68168.1, ALU70757.1	CAB13728.2
OG0000457	ALU72238.1	CAB13741.2, CAB14312.1
OG0000458	ALU67834.1	CAB15405.1, CAB13769.1
OG0000459	ALU72866.1	CAB13772.1
OG0000460	ALU70363.1	CAB14218.1, CAB13814.1
OG0000461	ALU72379.1	CAB13832.1
OG0000462	ALU69671.1, ALU73653.1, ALU69240.1	CAB13942.1
OG0000463	ALU71557.1	CAB14023.1, CAB14195.1
OG0000464	ALU70425.1	CAB14319.2, CAB14303.1, CAB14068.2
OG0000465	ALU72779.1, ALU70546.1	CAB14171.1
OG0000466	ALU71553.1, ALU68916.1	CAB14199.1
OG0000467	ALU72203.1	CAB14245.2, CAB14776.2
OG0000468	ALU70837.1	CAB14248.2, CAB14982.2
OG0000469	ALU70229.1, ALU70291.1	CAB14270.1
OG0000470	ALU70042.1, ALU73576.1	CAB14882.1, CAB14287.1
OG0000471	ALU70122.1, ALU69029.1	CAB14311.1
OG0000472	ALU71049.1, ALU73475.1	CAB14317.2
OG0000473	ALU72401.1	CAB14340.2, CAB15793.1
OG0000474	ALU70258.1, ALU72673.1	CAB14348.1
OG0000475	ALU73430.1, ALU69053.1, ALU69637.1	CAB14352.1
OG0000476	ALU72105.1, ALU72579.1	CAB14364.2
OG0000477	ALU71096.1	CAB14377.1
OG0000478	ALU71248.1, ALU71395.1	CAB14383.2
OG0000479	ALU69328.1, ALU68060.1	CAB14432.3
OG0000480	ALU71234.1, ALU71245.1	CAB14450.2
OG0000481	ALU72518.1, ALU70405.1	CAB14488.2
OG0000482	ALU69635.1	CAB14503.1
OG0000483	ALU69500.1, ALU70340.1	CAB14508.2
OG0000484	ALU72456.1, ALU68049.1	CAB14606.1
OG0000485	ALU69515.1, ALU70651.1	CAB14612.1
OG0000486	ALU69516.1	CAB14613.1, CAB15628.1
OG0000488	ALU70778.1, ALU71288.1	CAB14684.1
OG0000489	ALU70070.1, ALU73003.1	CAB14689.1
OG0000490	ALU71590.1	CAB14937.1, CAB14693.2
OG0000491	ALU71159.1	CAB14720.1
OG0000492	ALU70349.1	CAB14768.1
OG0000494	ALU71558.1	CAB14785.1
OG0000495	ALU68708.1, ALU71845.1	CAB14804.2
OG0000496	ALU68740.1, ALU68137.1	CAB14816.1
OG0000497	ALU70802.1	CAB14823.1, CAB14960.1
OG0000499	ALU71186.1	CAB15783.2, CAB14855.1
OG0000500	ALU70770.1, ALU68998.1	CAB14869.1
OG0000501	ALU69625.1, ALU68329.1	CAB14881.2
OG0000502	ALU70822.1	CAB15872.1, CAB14945.1
OG0000504	ALU71548.1, ALU72126.1	CAB15030.1
OG0000505	ALU68266.1, ALU73078.1	CAB15055.1
OG0000506	ALU70014.1	CAB15074.1, CAB15075.1
OG0000507	ALU67804.1	CAB15611.1, CAB15144.1
OG0000509	ALU70182.1	CAB15192.1
OG0000510	ALU71796.1	CAB15235.1
OG0000511	ALU71799.1, ALU70715.1	CAB15238.1
OG0000512	ALU72352.1, ALU72416.1	CAB15253.1
OG0000513	ALU69146.1	CAB15262.1
OG0000514	ALU68757.1	CAB15272.1
OG0000515	ALU68891.1	CAB15308.1
OG0000516	ALU70389.1, ALU69522.1	CAB15343.1
OG0000517	ALU70788.1, ALU68484.1	CAB15350.1
OG0000518	ALU68045.1	CAB15353.1
OG0000519	ALU67678.1, ALU72223.1	CAB15357.1
OG0000520	ALU69535.1, ALU68867.1	CAB15360.1
OG0000521	ALU69290.1	CAB15388.1, CAB15378.1
OG0000522	ALU71763.1	CAB15808.3, CAB15440.1
OG0000523	ALU70006.1, ALU70005.1	CAB15469.1
OG0000524	ALU70195.1, ALU72913.1	CAB15506.1
OG0000525	ALU68383.1	CAB16127.1, CAB15648.2
OG0000526	ALU67868.1, ALU71530.1	CAB15668.1
OG0000527	ALU72849.1, ALU68011.1	CAB15670.1
OG0000528	ALU69651.1	CAB15752.1, CAB15676.1, CAB15747.1
OG0000529	ALU69462.1, ALU71359.1	CAB15677.1
OG0000530	ALU69394.1, ALU67942.1	CAB15683.1
OG0000531	ALU70251.1	CAB15693.1, CAB15727.2
OG0000532	ALU68332.1, ALU71834.1	CAB15706.1
OG0000533	ALU69929.1, ALU70238.1	CAB15707.1
OG0000534	ALU72727.1, ALU70237.1	CAB15712.1
OG0000535	ALU72460.1	CAB16003.1, CAB15729.1
OG0000536	ALU68663.1, ALU68645.1	CAB15908.1
OG0000537	ALU69094.1	CAB16069.1, CAB15974.1
OG0000538	ALU73737.1, ALU71850.1, ALU71871.1	CAB16008.1
OG0000539	ALU69924.1	CAB16119.1, CAB16116.1
OG0000540	ALU72384.1, ALU71881.1	CAB16125.1
OG0000541	ALU69778.1, ALU68384.1	CAB16126.2
OG0000542	ALU68221.1, ALU70834.1	CAB16134.1
OG0000543	ALU72374.1	CAE01465.2
OG0000544	ALU68149.1, ALU70861.1, ALU70987.1	CAX52582.1
OG0000633	ALU68213.1	CAB11777.1
OG0000634	ALU68212.1	CAB11778.1
OG0000635	ALU68148.1	CAB11779.1
OG0000636	ALU68210.1	CAB11780.1
OG0000637	ALU68204.1	CAB11783.1
OG0000638	ALU71956.1	CAB11785.1
OG0000639	ALU71180.1	CAB11787.1
OG0000640	ALU71174.1	CAB11788.1
OG0000641	ALU68028.1	CAB11789.1
OG0000643	ALU70266.1	CAB11793.1, CAB15164.1
OG0000644	ALU67867.1	CAB11795.2
OG0000645	ALU67853.1	CAB11796.1
OG0000646	ALU67852.1	CAB11797.1
OG0000647	ALU68408.1	CAB13336.1, CAB11803.1
OG0000648	ALU71744.1	CAB11804.2
OG0000649	ALU69813.1	CAB11812.1
OG0000651	ALU69815.1	CAB11814.1
OG0000652	ALU69816.1	CAB11815.1
OG0000653	ALU69822.1	CAB11818.1
OG0000654	ALU69830.1	CAB11822.1
OG0000655	ALU69872.1	CAB11826.1
OG0000656	ALU69871.1	CAB11827.1
OG0000657	ALU69857.1	CAB11829.1
OG0000658	ALU69881.1	CAB11831.1
OG0000659	ALU69882.1	CAB11834.1
OG0000660	ALU73156.1	CAB11844.1
OG0000661	ALU73145.1	CAB11846.2
OG0000663	ALU72781.1	CAB11849.1
OG0000664	ALU69375.1	CAB11852.1, CAB12806.1
OG0000665	ALU73152.1	CAB11854.1
OG0000666	ALU73151.1	CAB11855.1
OG0000667	ALU73139.1	CAB11858.1
OG0000668	ALU73097.1	CAB11863.1
OG0000669	ALU73094.1	CAB11866.1
OG0000670	ALU73093.1	CAB11867.1
OG0000671	ALU71563.1	CAB11868.1
OG0000672	ALU73092.1	CAB11870.1
OG0000673	ALU73091.1	CAB11872.1
OG0000674	ALU72158.1	CAB11877.1
OG0000675	ALU72157.1	CAB11878.2
OG0000676	ALU72156.1	CAB11879.2
OG0000677	ALU72154.1	CAB11880.2
OG0000678	ALU72153.1	CAB11881.1
OG0000679	ALU72141.1	CAB11883.2
OG0000680	ALU72140.1	CAB11884.2
OG0000681	ALU72113.1	CAB11886.2
OG0000682	ALU72112.1	CAB11887.2
OG0000683	ALU72111.1	CAB11888.2
OG0000684	ALU72110.1	CAB11889.1
OG0000685	ALU72028.1	CAB11891.1
OG0000686	ALU72027.1	CAB11892.1
OG0000687	ALU72026.1	CAB11893.1
OG0000688	ALU72025.1	CAB11894.2
OG0000689	ALU72024.1	CAB11895.2
OG0000690	ALU72023.1	CAB11896.1
OG0000691	ALU72022.1	CAB11897.1
OG0000692	ALU72021.1	CAB11898.2
OG0000693	ALU72020.1	CAB11899.1
OG0000694	ALU72019.1	CAB11900.1
OG0000695	ALU72018.1	CAB11901.1
OG0000696	ALU72017.1	CAB11902.1
OG0000697	ALU72016.1	CAB11903.1
OG0000698	ALU72015.1	CAB11904.1
OG0000699	ALU72013.1	CAB11906.2
OG0000700	ALU72012.1	CAB11907.1
OG0000701	ALU72011.1	CAB11908.2
OG0000702	ALU72010.1	CAB11909.1
OG0000703	ALU72009.1	CAB11910.1
OG0000704	ALU72008.1	CAB11911.1
OG0000705	ALU72007.1	CAB11912.1
OG0000706	ALU72006.1	CAB11913.1
OG0000707	ALU72004.1	CAB11915.1
OG0000708	ALU72003.1	CAB11916.1
OG0000709	ALU72002.1	CAB11917.2
OG0000710	ALU72001.1	CAB11918.1
OG0000711	ALU71999.1	CAB11919.1
OG0000712	ALU71998.1	CAB11920.1
OG0000713	ALU71301.1	CAB11921.2
OG0000714	ALU71302.1	CAB11923.2
OG0000715	ALU71997.1	CAB11924.2
OG0000716	ALU71985.1	CAB11925.2
OG0000717	ALU71984.1	CAB11926.1
OG0000718	ALU70020.1	CAB11930.1
OG0000720	ALU72757.1	CAB11942.1
OG0000721	ALU70464.1	CAB11943.2
OG0000722	ALU72662.1	CAB11946.1
OG0000723	ALU71983.1	CAB11953.1
OG0000725	ALU68131.1	CAB12147.2, CAB12011.1
OG0000726	ALU69254.1	CAB12322.1, CAB12016.1
OG0000727	ALU69002.1	CAB12351.1, CAB12020.1
OG0000728	ALU70905.1	CAB12027.1
OG0000729	ALU71215.1	CAB13356.1, CAB12037.1
OG0000734	ALU68395.1	CAB12089.1
OG0000736	ALU69959.1	CAB12099.2
OG0000737	ALU71624.1	CAB12107.1
OG0000738	ALU71100.1	CAB12109.2
OG0000740	ALU71703.1	CAB12126.2, CAB12124.1
OG0000741	ALU71704.1	CAB15760.2, CAB12127.2
OG0000744	ALU73543.1	CAB12192.1, CAB12729.1
OG0000747	ALU68744.1	CAB12195.1
OG0000748	ALU68092.1	CAB12203.2
OG0000749	ALU70452.1	CAB13095.1, CAB12207.2
OG0000750	ALU73081.1	CAB12213.3
OG0000751	ALU70545.1	CAB12220.1
OG0000753	ALU72050.1	CAB12254.1
OG0000754	ALU71551.1	CAB12263.1
OG0000755	ALU70585.1	CAB12264.1
OG0000756	ALU69989.1, ALU69990.1	CAB12266.1
OG0000757	ALU70520.1	CAB12287.1, CAB13973.1
OG0000758	ALU70485.1	CAB15620.1, CAB12341.1
OG0000762	ALU69712.1	CAB12369.1, CAB14651.2
OG0000763	ALU68997.1, ALU70895.1	CAB12372.1
OG0000764	ALU72321.1, ALU72329.1	CAB12389.1
OG0000766	ALU71973.1	CAB12410.1
OG0000767	ALU71972.1	CAB12411.1
OG0000768	ALU71971.1	CAB12412.1
OG0000769	ALU71970.1	CAB12413.1
OG0000770	ALU71629.1	CAB12415.1
OG0000771	ALU72232.1	CAB12416.1
OG0000772	ALU71966.1	CAB12421.2
OG0000773	ALU72348.1	CAB12422.1
OG0000774	ALU70458.1	CAB12436.1
OG0000776	ALU67864.1, ALU67820.1	CAB12449.1
OG0000777	ALU71951.1	CAB12455.2
OG0000778	ALU71771.1	CAB12462.1
OG0000779	ALU71772.1	CAB12463.2
OG0000780	ALU72833.1	CAB12465.1
OG0000781	ALU72820.1	CAB12466.1
OG0000782	ALU72819.1	CAB12467.1
OG0000783	ALU69362.1	CAB12468.2
OG0000784	ALU69366.1	CAB12469.2
OG0000785	ALU69370.1	CAB12470.2
OG0000786	ALU69760.1	CAB12471.2
OG0000787	ALU69761.1	CAB12472.2
OG0000789	ALU69752.1	CAB12481.1
OG0000790	ALU71587.1	CAB12482.1
OG0000791	ALU67660.1	CAB12485.1
OG0000792	ALU71584.1	CAB12487.1
OG0000793	ALU71583.1	CAB12488.1
OG0000794	ALU71577.1	CAB12489.2
OG0000798	ALU69255.1	CAB15255.1, CAB12535.1
OG0000800	ALU72968.1	CAB12544.1, CAB14658.1
OG0000801	ALU71761.1	CAB12546.1
OG0000802	ALU68805.1	CAB12551.1
OG0000803	ALU70120.1	CAB12553.1, CAB12785.1
OG0000804	ALU68652.1	CAB12554.1, CAB15909.1
OG0000805	ALU72726.1	CAB12558.1
OG0000806	ALU72476.1	CAB12559.1
OG0000807	ALU72488.1, ALU72831.1	CAB12588.1
OG0000808	ALU72485.1	CAB12592.2
OG0000809	ALU71533.1	CAB12593.1
OG0000810	ALU70192.1	CAB12599.1, CAB12649.1
OG0000811	ALU67901.1, ALU72437.1	CAB12650.1
OG0000812	ALU72438.1, ALU67900.1	CAB12651.1
OG0000813	ALU71443.1	CAB12676.1
OG0000814	ALU71292.1	CAB12681.1
OG0000815	ALU73111.1	CAB12691.1
OG0000816	ALU70283.1	CAB12700.2
OG0000817	ALU72386.1	CAB12707.2
OG0000818	ALU71938.1	CAB15457.1, CAB12708.2
OG0000819	ALU69779.1	CAB12716.1
OG0000820	ALU71895.1	CAB12721.2
OG0000822	ALU69586.1	CAB12756.1
OG0000824	ALU70357.1	CAB12804.1
OG0000825	ALU71236.1	CAB12825.2
OG0000826	ALU71203.1	CAB12852.1
OG0000827	ALU71016.1	CAB12853.1
OG0000828	ALU71202.1	CAB12854.1
OG0000829	ALU69052.1	CAB12872.1
OG0000830	ALU71300.1	CAB12877.1
OG0000832	ALU67972.1	CAB12895.1, CAB15815.1
OG0000834	ALU69948.1	CAB12904.3
OG0000835	ALU69949.1	CAB12905.2
OG0000838	ALU70570.1	CAB12920.1
OG0000840	ALU71032.1	CAB12956.1
OG0000841	ALU67988.1, ALU67859.1	CAB12958.3
OG0000842	ALU70808.1	CAB12960.2
OG0000843	ALU70809.1	CAB12961.2
OG0000844	ALU70810.1	CAB12962.1
OG0000845	ALU70812.1	CAB12966.1
OG0000846	ALU70467.1	CAB12975.1
OG0000847	ALU71878.1	CAB12999.1
OG0000848	ALU67749.1	CAB13153.2, CAB13000.1
OG0000850	ALU70321.1	CAB13013.1
OG0000851	ALU70827.1	CAB14932.1, CAB13018.1
OG0000852	ALU71128.1	CAB13020.1
OG0000853	ALU72392.1	CAB13026.1
OG0000854	ALU72387.1	CAB13028.1
OG0000855	ALU71017.1	CAB13029.2
OG0000856	ALU69988.1, ALU71701.1	CAB13080.1
OG0000862	ALU72873.1	CAB13149.2
OG0000864	ALU68824.1	CAB13155.1
OG0000865	ALU68697.1	CAB13161.1
OG0000867	ALU73458.1	CAB13168.2
OG0000868	ALU70356.1	CAB13169.2
OG0000869	ALU70367.1	CAB13170.2
OG0000870	ALU72299.1, ALU69479.1	CAB13175.2
OG0000871	ALU69786.1	CAB13182.1
OG0000873	ALU72164.1	CAB13222.1, CAB15904.1
OG0000875	ALU71630.1	CAB13303.1
OG0000876	ALU71275.1	CAB13312.1
OG0000877	ALU71276.1	CAB13313.1
OG0000880	ALU68259.1	CAB13332.1
OG0000881	ALU71232.1	CAB13340.1
OG0000882	ALU69984.1	CAB13350.1
OG0000883	ALU70542.1	CAB13362.1, CAB15843.2
OG0000884	ALU70549.1	CAB15841.1, CAB13364.1
OG0000885	ALU71542.1	CAB13374.2
OG0000886	ALU71541.1	CAB13375.1
OG0000887	ALU69341.1, ALU68620.1	CAB13377.1
OG0000888	ALU70580.1	CAB13386.1
OG0000889	ALU70587.1	CAB13393.1
OG0000890	ALU70589.1	CAB13395.2
OG0000891	ALU72269.1	CAB13396.1
OG0000892	ALU68189.1, ALU70864.1	CAB13399.2
OG0000893	ALU70592.1	CAB13402.2
OG0000894	ALU70593.1	CAB13411.1
OG0000895	ALU70594.1	CAB13412.1
OG0000896	ALU70600.1	CAB13417.2
OG0000898	ALU70607.1	CAB13419.1
OG0000899	ALU71093.1	CAB13421.1
OG0000900	ALU71092.1	CAB13423.2
OG0000901	ALU71091.1	CAB13424.2
OG0000902	ALU70881.1	CAB13428.1
OG0000903	ALU72477.1	CAB13430.1
OG0000904	ALU70395.1, ALU71700.1	CAB13436.1
OG0000905	ALU71084.1	CAB13441.2
OG0000906	ALU71082.1	CAB13443.1
OG0000907	ALU71080.1	CAB13444.1
OG0000908	ALU72382.1	CAB13445.1
OG0000909	ALU71075.1	CAB13446.1
OG0000910	ALU71074.1	CAB13447.1
OG0000911	ALU71487.1	CAB13448.1
OG0000912	ALU68183.1	CAB13449.1
OG0000913	ALU71072.1	CAB13452.1
OG0000914	ALU71545.1	CAB13457.1
OG0000915	ALU71466.1	CAB13459.1
OG0000916	ALU70468.1	CAB13465.1
OG0000917	ALU71537.1	CAB13466.1
OG0000918	ALU71532.1	CAB13467.2
OG0000919	ALU71531.1	CAB13468.1
OG0000920	ALU71527.1	CAB13471.1
OG0000921	ALU71525.1	CAB13472.1
OG0000922	ALU71524.1	CAB13473.1
OG0000923	ALU71523.1	CAB13475.1
OG0000924	ALU71522.1	CAB13476.1
OG0000925	ALU71512.1	CAB13477.2
OG0000926	ALU71510.1	CAB13479.1
OG0000927	ALU69755.1	CAB13482.1
OG0000928	ALU69756.1	CAB13483.1
OG0000929	ALU71502.1	CAB13484.1
OG0000931	ALU71495.1	CAB13522.1
OG0000932	ALU71494.1	CAB13523.1
OG0000933	ALU71493.1	CAB13524.2
OG0000934	ALU71492.1	CAB13525.1
OG0000935	ALU71491.1	CAB13527.1
OG0000936	ALU71485.1	CAB13528.2
OG0000937	ALU71484.1	CAB13529.1
OG0000938	ALU71408.1	CAB13532.1
OG0000939	ALU71407.1	CAB13533.1
OG0000940	ALU71402.1	CAB13538.1
OG0000941	ALU71397.1	CAB13539.1
OG0000942	ALU71394.1	CAB13540.1
OG0000943	ALU71393.1	CAB13541.1
OG0000944	ALU71392.1	CAB13542.1
OG0000945	ALU67827.1	CAB13548.1
OG0000946	ALU70863.1, ALU71307.1	CAB13565.2
OG0000947	ALU71306.1	CAB13566.2
OG0000948	ALU71293.1	CAB13567.2
OG0000949	ALU71287.1	CAB13574.1
OG0000950	ALU69570.1	CAB13580.1
OG0000951	ALU71283.1	CAB13617.2
OG0000952	ALU71280.1	CAB13627.2
OG0000953	ALU70493.1	CAB13630.1
