Orthogroup	Rhodococcus_erythropolis_aa	Bacillus_subtilis_aa
OG0000955	ALU73300.1	CAB14079.1, CAB13646.1
OG0000956	ALU71047.1	CAB13673.1
OG0000957	ALU72205.1	CAB13677.1
OG0000958	ALU71024.1	CAB13684.1
OG0000960	ALU71366.1, ALU68549.1	CAB13696.2
OG0000961	ALU70202.1	CAB13705.1
OG0000962	ALU67818.1, ALU70643.1	CAB13706.1
OG0000964	ALU73159.1	CAB13718.1
OG0000967	ALU68819.1	CAB13754.2
OG0000969	ALU70498.1	CAB15314.1, CAB13759.1
OG0000970	ALU70224.1	CAB15404.1, CAB13768.1
OG0000974	ALU72609.1	CAB13794.2
OG0000975	ALU72523.1	CAB15359.1, CAB13815.1
OG0000977	ALU70052.1	CAB13829.3
OG0000978	ALU70368.1, ALU72096.1	CAB13831.1
OG0000979	ALU71400.1	CAB13836.1
OG0000980	ALU68918.1	CAB13843.1, CAB16044.1
OG0000983	ALU68450.1	CAB13851.1
OG0000984	ALU71196.1	CAB14086.1
OG0000985	ALU68058.1	CAB14087.1
OG0000986	ALU69925.1	CAB14097.1
OG0000987	ALU69722.1	CAB14099.1
OG0000988	ALU69723.1	CAB14100.1
OG0000989	ALU71572.1	CAB14105.2
OG0000990	ALU67736.1	CAB14139.1
OG0000991	ALU67764.1	CAB14150.1
OG0000992	ALU73146.1	CAB14157.1
OG0000993	ALU73147.1	CAB14158.1
OG0000994	ALU70491.1	CAB14159.1
OG0000995	ALU71778.1	CAB14160.1
OG0000996	ALU68234.1	CAB14161.1
OG0000997	ALU71729.1	CAB14176.1
OG0000998	ALU67914.1	CAB14177.1
OG0000999	ALU70753.1	CAB14179.1
OG0001000	ALU70752.1	CAB14180.2
OG0001001	ALU69355.1	CAB14181.3
OG0001002	ALU70551.1	CAB14183.2
OG0001003	ALU71099.1	CAB14186.1
OG0001004	ALU71101.1	CAB14187.3
OG0001005	ALU70351.1	CAB14189.1
OG0001006	ALU72165.1	CAB14190.1
OG0001007	ALU73154.1	CAB14194.1
OG0001008	ALU70839.1	CAB14200.1
OG0001009	ALU72915.1	CAB14203.2
OG0001010	ALU70780.1	CAB14204.1
OG0001011	ALU70838.1	CAB14205.1
OG0001012	ALU71567.1	CAB14239.2
OG0001013	ALU70836.1	CAB14253.1
OG0001014	ALU71068.1	CAB14257.1
OG0001015	ALU71069.1	CAB14258.1
OG0001016	ALU71070.1	CAB14259.1
OG0001017	ALU71071.1	CAB14260.1
OG0001018	ALU70434.1	CAB14284.2
OG0001019	ALU70832.1	CAB14293.1
OG0001021	ALU70366.1	CAB14314.1
OG0001022	ALU71779.1	CAB14323.2
OG0001023	ALU70257.1	CAB14324.2
OG0001024	ALU70149.1	CAB14339.1
OG0001025	ALU69185.1, ALU72363.1	CAB14343.1
OG0001026	ALU69210.1	CAB14347.2
OG0001027	ALU70828.1	CAB14355.2
OG0001028	ALU70813.1	CAB14356.1
OG0001029	ALU71214.1	CAB14358.1
OG0001030	ALU71094.1	CAB14363.2
OG0001031	ALU71095.1	CAB14376.2
OG0001032	ALU70339.1	CAB14378.1
OG0001033	ALU70872.1	CAB14386.1
OG0001034	ALU69275.1, ALU72424.1	CAB14394.1
OG0001035	ALU71155.1	CAB14410.1
OG0001036	ALU69793.1	CAB14420.1
OG0001037	ALU69393.1	CAB14426.1
OG0001038	ALU69392.1	CAB14427.2
OG0001039	ALU69391.1	CAB14428.2
OG0001040	ALU69390.1	CAB14429.1
OG0001041	ALU71483.1	CAB14437.1
OG0001042	ALU69946.1	CAB14446.2
OG0001043	ALU70482.1	CAB14447.1
OG0001044	ALU70446.1	CAB14451.2
OG0001045	ALU70431.1	CAB14457.2
OG0001046	ALU70414.1	CAB14458.1
OG0001047	ALU71842.1	CAB14459.1
OG0001048	ALU70412.1	CAB14461.2
OG0001049	ALU70411.1	CAB14476.2
OG0001050	ALU70406.1	CAB14486.1
OG0001052	ALU72520.1	CAB14489.1
OG0001053	ALU72519.1	CAB14490.1
OG0001054	ALU70384.1	CAB14493.1
OG0001055	ALU70378.1	CAB14497.2
OG0001056	ALU70376.1	CAB14499.1
OG0001057	ALU70375.1	CAB14501.1
OG0001058	ALU70371.1	CAB14504.1
OG0001059	ALU68211.1	CAB14514.1
OG0001060	ALU70623.1	CAB14519.1
OG0001062	ALU72103.1	CAB14799.2, CAB14622.1
OG0001063	ALU69605.1	CAB14626.2
OG0001064	ALU72984.1	CAB15719.1, CAB14635.1
OG0001065	ALU72697.1	CAB14638.2
OG0001069	ALU71421.1, ALU70015.1	CAB14678.1
OG0001070	ALU71105.1	CAB14679.1
OG0001071	ALU71107.1	CAB14682.1
OG0001072	ALU71589.1	CAB14691.3
OG0001073	ALU67905.1	CAB14694.2
OG0001074	ALU71108.1	CAB14695.1
OG0001075	ALU71112.1	CAB14714.1
OG0001076	ALU71154.1	CAB14715.1
OG0001077	ALU71158.1	CAB14719.2
OG0001078	ALU71161.1	CAB14724.2
OG0001079	ALU67898.1	CAB14731.1
OG0001080	ALU71164.1	CAB14733.2
OG0001081	ALU71165.1	CAB14734.1
OG0001082	ALU71167.1	CAB14742.1
OG0001083	ALU68037.1	CAB14750.1
OG0001084	ALU70355.1	CAB14752.1
OG0001085	ALU70354.1	CAB14754.1
OG0001086	ALU70353.1	CAB14756.1
OG0001087	ALU71781.1	CAB14765.1
OG0001088	ALU70348.1	CAB14769.2
OG0001089	ALU72228.1	CAB14773.1
OG0001090	ALU72230.1	CAB14775.1
OG0001091	ALU72231.1	CAB14777.1
OG0001092	ALU70335.1	CAB14782.2
OG0001093	ALU70332.1	CAB14783.1
OG0001094	ALU71559.1	CAB14786.1
OG0001096	ALU71568.1	CAB14789.1
OG0001097	ALU71570.1	CAB14791.1
OG0001098	ALU70274.1	CAB14796.1
OG0001099	ALU70273.1	CAB14797.1
OG0001100	ALU70315.1	CAB14802.1
OG0001101	ALU71846.1	CAB14803.1
OG0001102	ALU71066.1	CAB14809.2
OG0001103	ALU68225.1	CAB14810.1
OG0001104	ALU71593.1	CAB14812.1
OG0001105	ALU71594.1	CAB14813.1
OG0001106	ALU68272.1	CAB14819.1
OG0001107	ALU70801.1	CAB14824.1
OG0001108	ALU70800.1	CAB14825.1
OG0001109	ALU68506.1	CAB14830.1
OG0001111	ALU70799.1	CAB14845.1
OG0001112	ALU70798.1	CAB14846.1
OG0001113	ALU70797.1	CAB14847.1
OG0001114	ALU71268.1	CAB14860.1
OG0001115	ALU71882.1, ALU73018.1	CAB14864.1
OG0001116	ALU69636.1	CAB14865.1, CAB15345.1
OG0001117	ALU70782.1	CAB14866.1
OG0001118	ALU71536.1	CAB14868.2
OG0001119	ALU69186.1	CAB14874.1
OG0001120	ALU70759.1	CAB14878.1
OG0001121	ALU71578.1	CAB14879.1
OG0001122	ALU70611.1	CAB14883.1
OG0001123	ALU70815.1	CAB14904.1
OG0001124	ALU70814.1	CAB14905.1
OG0001125	ALU69789.1	CAB14924.1
OG0001126	ALU72400.1	CAB14925.1
OG0001127	ALU72000.1	CAB14944.1
OG0001128	ALU71247.1	CAB14949.1
OG0001129	ALU70590.1	CAB14957.1
OG0001130	ALU72786.1	CAB14968.1
OG0001131	ALU70654.1	CAB14998.1, CAB15026.1
OG0001132	ALU68247.1	CAB15010.1
OG0001133	ALU68581.1	CAB15013.1
OG0001138	ALU71081.1	CAB15033.1
OG0001140	ALU68216.1	CAB15046.1
OG0001141	ALU69376.1	CAB15049.2, CAB15902.1
OG0001142	ALU68268.1	CAB15052.1
OG0001143	ALU68267.1	CAB15054.1
OG0001144	ALU70264.1	CAB15072.1
OG0001145	ALU70262.1	CAB15076.1
OG0001147	ALU70890.1	CAB15093.1
OG0001148	ALU69749.1	CAB15124.2
OG0001149	ALU72371.1	CAB15149.2
OG0001150	ALU72372.1	CAB15151.2
OG0001151	ALU72373.1	CAB15152.3
OG0001152	ALU72376.1	CAB15154.1
OG0001153	ALU70267.1	CAB15163.1
OG0001154	ALU72988.1	CAB15181.1
OG0001155	ALU72759.1, ALU71348.1	CAB15189.2
OG0001156	ALU70529.1	CAB15195.1
OG0001157	ALU70539.1	CAB15206.1
OG0001159	ALU70232.1	CAB15214.1
OG0001160	ALU70230.1	CAB15216.1
OG0001161	ALU70524.1	CAB15223.2
OG0001162	ALU72874.1	CAB15231.1
OG0001163	ALU68331.1, ALU68327.1	CAB15232.1
OG0001164	ALU71795.1	CAB15236.2
OG0001165	ALU68923.1	CAB15240.2
OG0001166	ALU68326.1	CAB15241.1
OG0001167	ALU71037.1	CAB15256.1
OG0001168	ALU71035.1	CAB15260.1
OG0001169	ALU69144.1	CAB15263.1
OG0001170	ALU69145.1	CAB15264.1
OG0001171	ALU70867.1	CAB15269.1
OG0001172	ALU71121.1	CAB15277.1
OG0001173	ALU69940.1	CAB15294.1
OG0001174	ALU71664.1	CAB15298.1
OG0001175	ALU70250.1	CAB15305.2
OG0001176	ALU71056.1	CAB15364.1, CAB15309.1
OG0001177	ALU69120.1	CAB15310.1
OG0001178	ALU69523.1	CAB15344.3
OG0001179	ALU70399.1	CAB15348.1
OG0001180	ALU69785.1	CAB15351.1
OG0001181	ALU69823.1	CAB15355.2
OG0001182	ALU69825.1	CAB15356.1
OG0001183	ALU71655.1	CAB15365.1
OG0001184	ALU68840.1, ALU69118.1	CAB15384.1
OG0001185	ALU70040.1	CAB15390.1
OG0001186	ALU71308.1	CAB15394.1
OG0001187	ALU69898.1	CAB15395.1
OG0001188	ALU71060.1	CAB15397.1
OG0001189	ALU71061.1	CAB15398.1
OG0001190	ALU71062.1	CAB15399.1
OG0001191	ALU68966.1	CAB15408.1
OG0001192	ALU68965.1	CAB15409.1
OG0001193	ALU68964.1	CAB15410.1
OG0001194	ALU69483.1	CAB15413.1
OG0001195	ALU69484.1	CAB15414.1
OG0001198	ALU68307.1	CAB15459.1
OG0001199	ALU71461.1, ALU68597.1	CAB15471.1
OG0001200	ALU71064.1	CAB15481.2
OG0001201	ALU71065.1	CAB15482.1
OG0001202	ALU68226.1	CAB15484.1
OG0001203	ALU70703.1	CAB15491.1
OG0001204	ALU70699.1	CAB15492.1
OG0001205	ALU70697.1	CAB15493.1
OG0001206	ALU70695.1	CAB15494.1
OG0001207	ALU70692.1	CAB15495.1
OG0001208	ALU70690.1	CAB15496.1
OG0001209	ALU70908.1	CAB15497.1
OG0001210	ALU69358.1, ALU72561.1	CAB15501.1
OG0001211	ALU70754.1	CAB15504.1
OG0001212	ALU70975.1	CAB15505.1
OG0001213	ALU70792.1	CAB15533.1
OG0001214	ALU70784.1	CAB15534.1
OG0001215	ALU69069.1	CAB15537.1
OG0001216	ALU69418.1	CAB15665.1, CAB15538.1
OG0001217	ALU71656.1	CAB15542.1
OG0001218	ALU71657.1	CAB15543.1
OG0001219	ALU71660.1	CAB15546.1
OG0001220	ALU71739.1	CAB15548.1
OG0001221	ALU71740.1	CAB15562.2
OG0001222	ALU69757.1	CAB15568.1
OG0001223	ALU70239.1	CAB15570.1
OG0001224	ALU72547.1	CAB15592.1
OG0001225	ALU72171.1	CAB15625.1
OG0001227	ALU73556.1, ALU69321.1	CAB15632.1
OG0001229	ALU69790.1	CAB15653.1
OG0001230	ALU70072.1	CAB15666.2
OG0001231	ALU71529.1	CAB15669.1
OG0001232	ALU69396.1	CAB15681.1
OG0001233	ALU71627.1	CAB15687.1
OG0001234	ALU73479.1, ALU70342.1	CAB15688.1
OG0001235	ALU67837.1	CAB15691.1, CAB15690.1
OG0001236	ALU70235.1	CAB15718.1
OG0001237	ALU70234.1	CAB15724.1
OG0001238	ALU70233.1	CAB15725.2
OG0001239	ALU69941.1	CAB15726.1
OG0001240	ALU71048.1	CAB15728.3
OG0001241	ALU70831.1	CAB15743.1
OG0001242	ALU72534.1	CAB15746.1
OG0001243	ALU71521.1	CAB15750.1
OG0001244	ALU70228.1	CAB15761.1
OG0001245	ALU67673.1	CAB15776.1
OG0001246	ALU69011.1	CAB15777.1
OG0001247	ALU72446.1	CAB15780.1
OG0001248	ALU68856.1	CAB15785.1
OG0001249	ALU71900.1, ALU67878.1	CAB15792.1
OG0001250	ALU71201.1	CAB15794.1
OG0001251	ALU71907.1, ALU70659.1	CAB15799.2
OG0001252	ALU67975.1	CAB15809.1
OG0001253	ALU67976.1	CAB15810.1
OG0001254	ALU69017.1	CAB16022.2, CAB15822.2
OG0001255	ALU71547.1	CAB15823.1
OG0001256	ALU72572.1	CAB15844.2
OG0001257	ALU69666.1	CAB15850.2
OG0001258	ALU73124.1	CAB15851.1
OG0001259	ALU72389.1	CAB15873.1
OG0001260	ALU67705.1, ALU73387.1	CAB15876.1
OG0001261	ALU71976.1	CAB15898.1
OG0001262	ALU68494.1	CAB15931.2
OG0001263	ALU69100.1	CAB15971.1
OG0001264	ALU69096.1	CAB15972.1
OG0001265	ALU69095.1	CAB15973.1
OG0001266	ALU71841.1	CAB15976.2
OG0001267	ALU72277.1	CAB15978.2
OG0001268	ALU69585.1	CAB15979.1
OG0001269	ALU72444.1	CAB16079.1
OG0001270	ALU68386.1	CAB16081.2
OG0001271	ALU71705.1	CAB16085.1
OG0001272	ALU68385.1	CAB16087.1
OG0001273	ALU69406.1	CAB16103.1
OG0001274	ALU71586.1	CAB16111.1
OG0001275	ALU68382.1	CAB16128.1
OG0001276	ALU69955.1	CAB16129.1
OG0001277	ALU68222.1	CAB16133.1
OG0001278	ALU68220.1	CAB16137.1
OG0001279	ALU68218.1	CAB16140.1
OG0001280	ALU68214.1	CAB16143.1
OG0001281	ALU73083.1, ALU68999.1	CAE01447.2
OG0001282	ALU69618.1, ALU68802.1	CAE01448.1
OG0001284	ALU69336.1	CAX52584.1
OG0001449	ALU67732.1	CAB11807.1
OG0001451	ALU69208.1	CAB11835.1
OG0001453	ALU73157.1	CAB11843.1
OG0001455	ALU73099.1	CAB11864.1
OG0001457	ALU72780.1	CAB11869.1
OG0001458	ALU72014.1	CAB11905.1
OG0001459	ALU72725.1	CAB11934.1
OG0001465	ALU72434.1	CAB12017.1
OG0001466	ALU72357.1	CAB12021.1
OG0001468	ALU68675.1	CAB12041.1
OG0001471	ALU69326.1	CAB12055.2
OG0001472	ALU69173.1	CAB12056.2
OG0001474	ALU73417.1	CAB12060.2
OG0001478	ALU68102.1	CAB12096.2
OG0001479	ALU69001.1	CAB12102.2
OG0001482	ALU68682.1	CAB12112.1
OG0001484	ALU68530.1	CAB12120.1
OG0001487	ALU73473.1	CAB12139.1
OG0001488	ALU73474.1	CAB12140.1
OG0001489	ALU72418.1	CAB12153.2
OG0001492	ALU72802.1	CAB12175.2
OG0001494	ALU68185.1	CAB12221.1
OG0001495	ALU72564.1	CAB12237.1
OG0001496	ALU71220.1	CAB12239.1
OG0001497	ALU70614.1	CAB12241.1
OG0001499	ALU71124.1	CAB12248.1
OG0001507	ALU69194.1	CAB12283.1
OG0001508	ALU69195.1	CAB12284.1
OG0001509	ALU71514.1	CAB12285.2
OG0001510	ALU73638.1	CAB12293.1
OG0001516	ALU73095.1	CAB12320.1
OG0001517	ALU69485.1	CAB12323.1
OG0001518	ALU68949.1	CAB12324.1
OG0001519	ALU71415.1	CAB12330.1
OG0001520	ALU69729.1	CAB12338.1
OG0001521	ALU68514.1	CAB12339.1
OG0001522	ALU67715.1	CAB12347.1
OG0001526	ALU71499.1	CAB12387.1
OG0001531	ALU71549.1	CAB12409.1
OG0001532	ALU70206.1	CAB12425.1
OG0001533	ALU67916.1	CAB12426.1
OG0001536	ALU70139.1	CAB12443.1
OG0001537	ALU68017.1	CAB12450.2
OG0001538	ALU71020.1	CAB12453.2
OG0001539	ALU69953.1	CAB12479.1
OG0001541	ALU73141.1	CAB12507.1
OG0001542	ALU70667.1	CAB12511.1
OG0001548	ALU69831.1	CAB12556.1
OG0001549	ALU69452.1	CAB12574.1
OG0001552	ALU68706.1	CAB12586.1
OG0001555	ALU70479.1	CAB12617.1
OG0001557	ALU69468.1	CAB12628.2
OG0001558	ALU69595.1	CAB12635.1
OG0001559	ALU69596.1	CAB12636.1
OG0001560	ALU69252.1	CAB12641.1
OG0001563	ALU72836.1	CAB12659.1
OG0001565	ALU70295.1	CAB12663.1
OG0001567	ALU72475.1	CAB12670.1
OG0001568	ALU67925.1	CAB12674.1
OG0001569	ALU70526.1	CAB12680.1
OG0001571	ALU68904.1	CAB12714.2
OG0001574	ALU70203.1	CAB12727.1
OG0001577	ALU71833.1	CAB12759.2
OG0001578	ALU68698.1	CAB12777.1
OG0001583	ALU69492.1	CAB12820.1
OG0001584	ALU69627.1	CAB12829.2
OG0001585	ALU69626.1	CAB12830.2
OG0001589	ALU70272.1	CAB12864.1
OG0001590	ALU69808.1	CAB12866.1
OG0001591	ALU67870.1	CAB12867.2
OG0001597	ALU68658.1	CAB12926.1
OG0001600	ALU72163.1	CAB12942.1
OG0001608	ALU67921.1	CAB13021.1
OG0001609	ALU70158.1	CAB13022.1
OG0001610	ALU72394.1	CAB13024.1
OG0001613	ALU69796.1	CAB13046.1
OG0001616	ALU70307.1	CAB13054.1
OG0001617	ALU69353.1	CAB13055.1
OG0001618	ALU71726.1	CAB13063.1
OG0001620	ALU69314.1	CAB13081.1
OG0001644	ALU69454.1	CAB13172.1
OG0001647	ALU70024.1	CAB13187.1
OG0001648	ALU69241.1	CAB13197.1
OG0001649	ALU71030.1	CAB13198.1
OG0001660	ALU69932.1	CAB13354.1
OG0001661	ALU71543.1	CAB13359.1
OG0001663	ALU71681.1	CAB13378.2
OG0001664	ALU71539.1	CAB13380.1
OG0001667	ALU70866.1	CAB13398.2
OG0001668	ALU70865.1	CAB13400.1
OG0001670	ALU71605.1	CAB13408.2
OG0001672	ALU70595.1	CAB13413.3
OG0001673	ALU70598.1	CAB13416.1
OG0001675	ALU71460.1	CAB13439.1
OG0001676	ALU71730.1	CAB13451.1
OG0001691	ALU69569.1	CAB13579.1
OG0001701	ALU67987.1	CAB13700.1
OG0001702	ALU72058.1	CAB13708.1
OG0001703	ALU72044.1	CAB13709.1
OG0001704	ALU69579.1	CAB13719.1
OG0001709	ALU72383.1	CAB13798.1
OG0001711	ALU70805.1	CAB13827.1
OG0001712	ALU70610.1	CAB13840.2
OG0001714	ALU69563.1	CAB13856.1
OG0001722	ALU72824.1	CAB14108.1
OG0001723	ALU67897.1	CAB14116.1
OG0001724	ALU70928.1	CAB14118.1
OG0001729	ALU70190.1	CAB14140.1
OG0001732	ALU71352.1	CAB14165.1
OG0001735	ALU70835.1	CAB14254.1
OG0001738	ALU71832.1	CAB14281.1
OG0001740	ALU68602.1	CAB14289.2
OG0001743	ALU69927.1	CAB14308.2
OG0001745	ALU70991.1	CAB14318.2
OG0001746	ALU69818.1	CAB14327.1
OG0001750	ALU69184.1	CAB14344.2
OG0001752	ALU70826.1	CAB14357.2
OG0001753	ALU69944.1	CAB14361.2
OG0001755	ALU71358.1	CAB14384.1
OG0001756	ALU70530.1	CAB14388.2
OG0001762	ALU67783.1	CAB14482.1
OG0001763	ALU70404.1	CAB14491.1
OG0001765	ALU70370.1	CAB14506.1
OG0001767	ALU70622.1	CAB14520.2
OG0001771	ALU72891.1	CAB14596.1
OG0001772	ALU69652.1	CAB14605.1
OG0001774	ALU69514.1	CAB14611.1
OG0001775	ALU68456.1	CAB14621.1
OG0001778	ALU72298.1	CAB14643.2
OG0001780	ALU68035.1	CAB14656.1
OG0001783	ALU71106.1	CAB14681.1
OG0001784	ALU72398.1	CAB14685.1
OG0001787	ALU71163.1	CAB14730.2
OG0001789	ALU70661.1	CAB14745.1
OG0001790	ALU70663.1	CAB14746.1
OG0001791	ALU70662.1	CAB14747.1
OG0001794	ALU71569.1	CAB14790.2
OG0001795	ALU69643.1	CAB14793.1
OG0001799	ALU69952.1	CAB14831.2
OG0001800	ALU69735.1	CAB14838.1
OG0001803	ALU69662.1	CAB14852.1
OG0001804	ALU71005.1	CAB14857.1
OG0001807	ALU70961.1	CAB14877.1
OG0001809	ALU71001.1	CAB14888.1
OG0001814	ALU68503.1	CAB14934.2
OG0001818	ALU69811.1	CAB14985.1
OG0001820	ALU70639.1	CAB14999.1
OG0001821	ALU70637.1	CAB15001.1
OG0001824	ALU68892.1	CAB15024.1
OG0001825	ALU72353.1	CAB15031.1
OG0001827	ALU68431.1	CAB15040.1
OG0001829	ALU69783.1	CAB15048.1
OG0001830	ALU72176.1	CAB15058.1
OG0001831	ALU73116.1	CAB15059.1
OG0001832	ALU72170.1	CAB15060.1
OG0001836	ALU67708.1	CAB15079.1
OG0001837	ALU72091.1	CAB15083.2
OG0001839	ALU73144.1	CAB15092.1
OG0001840	ALU71858.1	CAB15095.1
OG0001841	ALU73580.1	CAB15098.1
OG0001842	ALU73581.1	CAB15100.1
OG0001850	ALU71989.1	CAB15176.2
OG0001851	ALU71344.1	CAB15187.1
OG0001852	ALU71345.1	CAB15188.1
OG0001853	ALU71346.1	CAB15190.2
OG0001856	ALU71384.1	CAB15212.1
OG0001857	ALU70231.1	CAB15215.1
OG0001861	ALU71033.1	CAB15257.1
OG0001863	ALU69188.1	CAB15287.1
OG0001864	ALU72237.1	CAB15342.1
OG0001865	ALU68570.1	CAB15349.1
OG0001871	ALU68764.1	CAB15448.1
OG0001873	ALU71063.1	CAB15480.1
OG0001875	ALU70480.1	CAB15502.1
OG0001876	ALU72193.1	CAB15515.1
OG0001882	ALU67805.1	CAB15612.1
OG0001883	ALU68957.1	CAB15613.1
OG0001884	ALU69661.1	CAB15652.1
OG0001886	ALU70694.1	CAB15662.1
OG0001887	ALU69441.1	CAB15664.1
OG0001889	ALU68782.1	CAB15679.1
OG0001890	ALU67941.1	CAB15682.1
OG0001891	ALU70248.1	CAB15697.1
OG0001892	ALU70246.1	CAB15699.1
OG0001893	ALU70245.1	CAB15700.1
OG0001894	ALU70244.1	CAB15701.1
OG0001895	ALU70242.1	CAB15703.1
OG0001896	ALU70329.1	CAB15709.1
OG0001900	ALU67664.1	CAB15775.1
OG0001902	ALU70857.1	CAB15828.1
OG0001903	ALU68699.1	CAB15846.1
OG0001905	ALU69894.1	CAB15852.1
OG0001906	ALU69895.1	CAB15853.1
OG0001907	ALU69896.1	CAB15854.2
OG0001908	ALU70502.1	CAB15856.1
OG0001911	ALU69476.1	CAB15871.1
OG0001912	ALU72192.1	CAB15875.1
OG0001913	ALU68515.1	CAB15880.2
OG0001915	ALU69097.1	CAB15897.1
OG0001916	ALU69378.1	CAB15900.1
OG0001917	ALU69377.1	CAB15901.1
OG0001919	ALU71814.1	CAB15923.2
OG0001920	ALU70012.1	CAB15927.1
OG0001921	ALU70790.1	CAB15952.1
OG0001922	ALU69540.1	CAB15988.1
OG0001924	ALU70341.1	CAB16004.1
OG0001925	ALU71873.1	CAB16005.1
OG0001926	ALU71872.1	CAB16006.2
OG0001927	ALU71870.1	CAB16009.2
OG0001928	ALU71869.1	CAB16011.2
OG0001929	ALU71874.1	CAB16012.1
OG0001930	ALU69200.1	CAB16018.1
OG0001931	ALU69979.1	CAB16038.1
OG0001932	ALU70538.1	CAB16041.2
OG0001934	ALU69631.1	CAB16080.1
OG0001936	ALU72281.1	CAB16094.1
OG0001937	ALU67883.1	CAB16102.1
OG0001938	ALU69405.1	CAB16104.2
OG0001940	ALU70942.1	CAB16113.1
OG0001941	ALU68566.1	CAB16122.1
OG0001944	ALU68215.1	CAB16142.1
OG0001945	ALU72162.1	CAE01461.2
OG0001947	ALU69438.1	CAX52540.1
OG0001952	ALU72885.1	CAX52685.1
